epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,0.6610777735710144,0.6796875,0.6154228150844574,0.875
1,0.557389235496521,0.8734375,0.46146729588508606,0.8984375
2,0.3778568983078003,0.9046875,0.2928665354847908,0.8828125
3,0.22541020810604095,0.915625,0.1919911429286003,0.9140625
4,0.1775588095188141,0.9234375,0.13971690088510513,0.9453125
5,0.16439133137464523,0.925,0.12847453355789185,0.9375
6,0.15488089565187693,0.9328125,0.10502472892403603,0.96875
7,0.13249962851405145,0.940625,0.09735503792762756,0.953125
8,0.12934850677847862,0.946875,0.10752540081739426,0.9375
9,0.12306922301650047,0.9484375,0.09702799841761589,0.9453125
10,0.1188219130039215,0.9484375,0.0982012078166008,0.9375
11,0.1095060832798481,0.953125,0.11855511739850044,0.921875
12,0.1015856247395277,0.959375,0.10755512490868568,0.9375
13,0.09792878516018391,0.9609375,0.09796648100018501,0.9453125
14,0.08781316429376602,0.9671875,0.12373985350131989,0.9375
15,0.08077660165727138,0.9703125,0.1297650933265686,0.9375
16,0.07448610477149487,0.9734375,0.10117349401116371,0.953125
17,0.06882373616099358,0.9734375,0.1156277246773243,0.9453125
18,0.06981287486851215,0.971875,0.13834454491734505,0.9375
19,0.05695429630577564,0.9828125,0.11561785265803337,0.953125
20,0.0588062709197402,0.9796875,0.125976350158453,0.9453125
21,0.05479414854198694,0.9796875,0.10704890638589859,0.9453125
22,0.044014212861657145,0.9859375,0.13998423516750336,0.9453125
23,0.043195011606439945,0.9890625,0.11677247285842896,0.9609375
24,0.04087406685575843,0.9890625,0.15897749364376068,0.9375
25,0.03689682190306485,0.990625,0.12505767866969109,0.9609375
26,0.027402435801923274,0.99375,0.1173471137881279,0.953125
27,0.030199105851352215,0.990625,0.14345867931842804,0.953125
28,0.026185188721865416,0.99375,0.14652591943740845,0.9375
29,0.02348240725696087,0.99375,0.14864102378487587,0.9453125
30,0.018836427945643663,0.99375,0.18282517418265343,0.9296875
31,0.01599423880688846,0.9953125,0.12964553013443947,0.9609375
32,0.013791697460692375,0.9953125,0.18304846435785294,0.9296875
33,0.010755298053845763,0.996875,0.18260633945465088,0.9375
34,0.00776561857201159,1.0,0.20568963140249252,0.921875
35,0.0075012826127931476,0.9984375,0.2207033783197403,0.9140625
36,0.005761653662193567,1.0,0.19528398849070072,0.9375
37,0.0051231297431513665,1.0,0.23177681863307953,0.9140625
38,0.004143739037681371,1.0,0.23855116218328476,0.921875
39,0.0034976260270923377,1.0,0.18099571764469147,0.9375
40,0.002596257964614779,1.0,0.24509736895561218,0.921875
41,0.0022418210632167757,1.0,0.21204011887311935,0.921875
42,0.0019004326546564697,1.0,0.25552624464035034,0.921875
43,0.002047784498427063,1.0,0.27118393778800964,0.9140625
44,0.0018945464864373208,1.0,0.18754781782627106,0.9296875
45,0.0016299462789902464,1.0,0.208149753510952,0.9140625
46,0.0014503047161269933,1.0,0.19895701855421066,0.921875
47,0.0012834819266572596,1.0,0.27317172288894653,0.9140625
48,0.001140851029776968,1.0,0.2376203015446663,0.921875
49,0.001001613019616343,1.0,0.27291206270456314,0.921875
