epoch,discriminator_loss,generator_loss
1,0.9584805045336012,6509.445037357391
2,1.6393577314558483,5969.892225477431
3,1.386000150725955,5897.5737382192465
4,1.323682433082944,5912.76072281126
5,0.2707146198030502,5807.5131913442465
6,0.05471072399190494,5756.866894918775
7,0.022878017601749255,5704.415188259549
8,0.01410294696688652,5634.264766632565
9,0.010046791861809436,5525.854399181548
10,0.007665981871208974,5536.902570452009
11,0.006132862626737546,5406.254983568949
12,0.005067860877643975,5385.973423549107
13,0.004295010755341205,5353.638373480902
14,0.0037221991057906833,5354.209995814732
15,0.0032851820671191763,5328.682493179564
16,0.0029377152308052968,5303.121686662947
17,0.0026523344226122374,5323.696257091704
18,0.0024131956761555065,5305.825828915551
19,0.0022101954978314183,5296.815538194444
20,0.0020362111695465587,5297.417833116319
21,0.0018857076767802474,5297.42198156932
22,0.0017542467075621797,5401.69286140563
23,0.0016383232182956167,5307.956170944941
24,0.001535091510352989,5275.67340766059
25,0.0014423922532134587,5248.740512424045
26,0.001358399178744072,5256.350473555308
27,0.0012817153141700796,5261.573645213293
28,0.001211071440521332,5236.6770426432295
29,0.0011454414786948334,5227.896922278026
30,0.0010842152553359194,5241.670828683035
31,0.0010270330434044201,5240.989205496652
32,0.0009738890544718339,5244.67937360491
33,0.0009247109558181985,5259.269779265873
34,0.0008794817896116347,5252.180983770461
35,0.000837880504568891,5249.590564546131
36,0.0007995509732854626,5250.066326807416
37,0.0007641768445157342,5198.771238296751
38,0.000731574320640888,5196.998469277034
39,0.0007015266797564451,5206.840686616443
40,0.0006737248853795112,5201.8730953156
41,0.0006478152197179576,5298.38921828497
42,0.000623512462461515,5178.718837193081
43,0.0006006022218600033,5197.8968670557415
44,0.000578899671959262,5200.333817739335
45,0.0005582425177895597,5200.958219982329
46,0.0005385479640348681,5162.0767337859625
47,0.0005197379828637673,5294.696405319941
48,0.0005017346942738171,5207.300495450459
49,0.0004845009155807987,5177.94823249938
50,0.000467956468503597,5197.509292844742
