epoch,embedder_loss
1,8.991037164415632
2,5.045547190166655
3,5.048225433107406
4,5.040063419039288
5,5.04108032347664
6,5.044107020847381
7,5.042018754141671
8,5.044305702996632
9,5.046319605812194
10,5.045283075362917
11,5.043346480717735
12,5.046982772766598
13,5.044476796710302
14,5.039534758007716
15,5.043448788779123
16,5.046849228086925
17,5.043026447296143
18,5.044808221241785
19,5.036116607605465
20,4.7418753116849865
21,2.2856003538010614
22,1.0940047228147114
23,0.5739172848444136
24,0.4093084609697735
25,0.3637932671440972
26,0.3156695540935274
27,0.29575250167695305
28,0.2810572355039536
29,0.2712274366427982
30,0.2658761950239303
31,0.2504801132849285
32,0.23431721802741762
33,0.22847226356703138
34,0.21994272560354264
35,0.20646106558186667
36,0.19220325279803502
37,0.18194045977933065
38,0.17755843698978424
39,0.1719525387835881
40,0.1651422917133286
41,0.15530017018318176
42,0.14441258661330691
43,0.14944433349938618
44,0.1386122086218425
45,0.13646415147989516
46,0.14005261541359007
47,0.13330771324653473
48,0.12734891817210212
49,0.1347645948094035
50,0.11605073688995271
